County,Per Capita Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
Reagan,54091,66711,68513,8.3,10.1
Real,40667,43076,28919,16.4,32.1
Red River,47762,46727,40502,15.7,25.6
Reeves,44232,64863,64150,19,20.5
Refugio,48266,48433,40982,15.3,23.7
Roberts,52804,69927,51258,6.4,9.1
Robertson,45866,55218,49019,14.2,23.2
Rockwall,64943,106225,46899,4.8,6.4
Runnels,44352,50972,39781,14.3,21.4
Rusk,39551,56954,45044,14.2,18.1
Sabine,40477,51046,39074,16,25.4
San Augustine,43642,45781,42244,19.6,29.7
San Jacinto,39298,51575,37993,16.1,26.1
San Patricio,48391,56944,51055,14.8,21.6
San Saba,40340,48349,38947,17.4,26.1
Schleicher,46015,54471,48877,13.2,19
Scurry,47272,57158,56062,13.8,17.6
Shackelford,86294,64931,53684,12.5,15.8
Shelby,44038,41194,41915,18,24.4
Sherman,91855,66408,49009,11.3,16.9
Smith,57076,60735,49365,12.7,18.2
Somervell,50164,67984,66457,8.3,12.8
Starr,32146,35716,34150,25.2,35.3
Stephens,45759,48911,40304,15.6,23.5
Sterling,63329,68435,47997,10.2,13.5
Stonewall,59419,59802,42791,14.3,22.5
Sutton,56622,64612,60928,11.7,17.3
Swisher,53734,39897,40172,19.6,27.2
Tarrant,55615,72064,60926,10.5,15.4
Taylor,52429,52974,46215,12.2,16.9
Terrell,61631,42849,44359,14,13.2
Terry,41634,47292,43348,18.5,27.4
Throckmorton,44582,46820,32520,13.5,27.7
Titus,41207,52973,42361,14.3,21.4
Tom Green,52947,55990,46795,12,16.6
Travis,74032,82605,77141,10.2,10.9
Trinity,39206,47685,36889,16.8,26.5
Tyler,36694,48809,38948,18.9,27.9
Upshur,39674,58231,40645,12.6,17.8
Upton,50428,59593,81659,12.1,17
Uvalde,45255,49275,38979,19,30.7
Val Verde,41079,54346,40486,15.6,24.3
Van Zandt,42656,57891,37992,12.9,17.7
Victoria,53881,53583,47604,16.5,24.4
Walker,32334,43002,44117,18,20.8
Waller,44779,69460,46927,12.6,17.4
Ward,48109,57257,61555,9.8,14.4
Washington,58426,62667,43844,11.7,17.6
Webb,35626,56588,39642,19.9,30.3
Wharton,48384,55887,43794,13.8,20.6
Wheeler,48691,49838,46913,13.5,20.3
Wichita,46322,54659,43180,16,20.9
Wilbarger,49537,51774,40636,14.6,21.1
Willacy,31710,40190,40729,24.7,34
Williamson,56693,91507,66434,5.6,6.3
Wilson,49745,74529,42237,9.4,11.5
Winkler,62259,77960,71009,11.8,16.9
Wise,48435,71636,49567,10,12.4
Wood,42978,61886,40819,13.5,21.4
Yoakum,44395,67132,63164,10.8,14.9
Young,53227,54569,45104,14.8,22.1
Zapata,28981,39876,48249,24.6,39.5
Zavala,33303,34898,41015,27.2,39
