variable,source,type,description,v1,v2,v3,v4
r_ti1y_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
r_spey_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y,N
m_all_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y,N
m_ethh_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y,N
m_etha_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y,N
m_ethb_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y,N
m_ethw_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y,N
m_ecoy_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
m_eco1_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y,N
m_ti1y_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
m_spey_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y,N
r_all_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N,N
r_ethh_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,N,N
r_etha_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,N,N
r_ethb_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,N,N
r_ethw_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,N,N
r_ecoy_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,N,N
r_eco1_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,N,N
r_ti1y_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,N,N
r_spey_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,N,N
m_all_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N,N
m_ethh_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,N,N
m_etha_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,N,N
m_ethb_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,N,N
m_ethw_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,N,N
m_ecoy_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,N,N
m_eco1_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,N,N
m_ti1y_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,N,N
m_spey_rs_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,N,N
r_all_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- All Students,Y,N,Y,N
r_ethh_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Hispanic/Latino Students,Y,N,Y,N
r_etha_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Asian Students,Y,N,Y,N
r_ethb_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Black or African American Students,Y,N,Y,N
r_ethw_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- White Students,Y,N,Y,N
r_ecoy_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
r_eco1_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Free Meals Students,Y,N,Y,N
r_ti1y_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
r_spey_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y,N
m_all_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y,N
m_ethh_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y,N
m_etha_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y,N
m_ethb_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y,N
m_ethw_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y,N
m_ecoy_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
m_eco1_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y,N
m_ti1y_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
m_spey_d_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y,N
r_all_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N,N
r_ethh_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,N,N
r_etha_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,N,N
r_ethb_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,N,N
r_ethw_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,N,N
r_ecoy_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,N,N
r_eco1_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,N,N
r_ti1y_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,N,N
r_spey_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,N,N
m_all_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N,N
m_ethh_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,N,N
m_etha_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,N,N
m_ethb_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,N,N
m_ethw_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,N,N
m_ecoy_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,N,N
m_eco1_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,N,N
m_ti1y_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,N,N
m_spey_rs_g7_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,N,N
r_all_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- All Students,Y,N,Y,N
r_ethh_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Hispanic/Latino Students,Y,N,Y,N
r_etha_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Asian Students,Y,N,Y,N
r_ethb_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Black or African American Students,Y,N,Y,N
r_ethw_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- White Students,Y,N,Y,N
r_ecoy_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
r_eco1_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Free Meals Students,Y,N,Y,N
r_ti1y_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
r_spey_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y,N
m_all_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y,N
m_ethh_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y,N
m_etha_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y,N
m_ethb_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y,N
m_ethw_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y,N
m_ecoy_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
m_eco1_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y,N
m_ti1y_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
m_spey_d_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y,N
r_all_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N,N
r_ethh_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,N,N
r_etha_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,N,N
r_ethb_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,N,N
r_ethw_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,N,N
r_ecoy_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,N,N
r_eco1_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,N,N
r_ti1y_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,N,N
r_spey_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,N,N
m_all_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N,N
m_ethh_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,N,N
m_etha_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,N,N
m_ethb_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,N,N
m_ethw_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,N,N
m_ecoy_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,N,N
m_eco1_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,N,N
m_ti1y_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,N,N
m_spey_rs_g8_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,N,N
Labor Force 19,DATA_LAUS_COUNTY.csv,Numeric,number of Labor Force county-level in 2019,Y,N,Y,N
Employed 19,DATA_LAUS_COUNTY.csv,Numeric,number of Employed county-level in 2019,Y,N,Y,N
Unemployed Level 19,DATA_LAUS_COUNTY.csv,Numeric,Unemployed Level county-level in 2019,Y,N,Y,N
Unemployed Rate 19,DATA_LAUS_COUNTY.csv,Numeric,Unemployed Rate county-level in 2019,Y,N,Y,N
Labor Force 21,DATA_LAUS_COUNTY.csv,Numeric,number of Labor Force county-level in 2021,Y,N,Y,N
Employed 21,DATA_LAUS_COUNTY.csv,Numeric,number of Employed county-level in 2021,Y,N,Y,N
Unemployed Level 21,DATA_LAUS_COUNTY.csv,Numeric,Unemployed Level county-level in 2021,Y,N,Y,N
Unemployed Rate 21,DATA_LAUS_COUNTY.csv,Numeric,Unemployed Rate county-level in 2021,Y,N,Y,N
Labor Force Diff,DATA_LAUS_COUNTY.csv,Numeric,Difference of labor force between 2019 and 2021,Y,Y,N,Y
Employed Diff,DATA_LAUS_COUNTY.csv,Numeric,Difference of employed between 2019 and 2021,Y,Y,N,Y
Unemployed Level Diff,DATA_LAUS_COUNTY.csv,Numeric,Difference of unemployment level between 2019 and 2021,Y,Y,N,Y
Unemployed Rate Diff,DATA_LAUS_COUNTY.csv,Numeric,Difference of unemployment rate between 2019 and 2021,Y,Y,N,Y
Population 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Population in 2010,Y,N,N,N
White Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,White alone population,Y,N,Y,N
Black Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Black alone population,Y,N,Y,N
Asian Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Asian alone population,Y,N,Y,N
Hispanic Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Hispanic population,Y,N,Y,N
Male Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Male population,Y,N,Y,N
Female Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Female population,Y,N,Y,N
Age 0-4 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 0-4 population,Y,N,Y,N
Age 5-9 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 5-9 population,Y,N,Y,N
Age 10-14 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 10-14 population,Y,N,Y,N
Age 15-19 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 15-19 population,Y,N,Y,N
Age 20-24 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 20-24 population,Y,N,Y,N
Age 25-34 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 25-34 population,Y,N,Y,N
Age 35-44 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 35-44 population,Y,N,Y,N
Age 45-54 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 45-54 population,Y,N,Y,N
Age 55-64 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 55-64 population,Y,N,Y,N
Age 65-74 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 65-74 population,Y,N,Y,N
Age 75-84 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 75-84 population,Y,N,Y,N
Age 85-Up Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 85-UP population,Y,N,Y,N
Median Age 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Median age both sexes,Y,Y,Y,Y
Median Age Male 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Median age of males,Y,Y,Y,Y
Median Age Female 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Median age of females,Y,Y,Y,Y
# of Households 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of households,Y,Y,Y,Y
Avg Household Size 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Average household size,Y,Y,Y,Y
HH 1 Male 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of 1-person male households,Y,N,Y,N
HH 1 Female 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of 1-person female households,Y,N,Y,N
HH Married-Child 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of married couple households with children,Y,N,Y,N
HH Married-noChild 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of married couple households with no children,Y,N,Y,N
HH Male-Child 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of male-headed households with children,Y,N,Y,N
HH Female-Child 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of female-headed households with children,Y,N,Y,N
# of Families 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of families,Y,Y,Y,Y
Avg Family Size 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Average family size,Y,Y,Y,Y
# of Housing Units 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,"Total number of housing units (H0010001). Sum of VACANT, OWNER_OCC, RENTER_OCC. A housing unit is defined by the Census Bureau as a living quarters in which the occupant or occupants live separately from any other individuals in the building and have direct access to their liiving quarters from outside the building or through a common hall.",Y,Y,Y,Y
Housing Vacant 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of vacant housing units,Y,N,Y,N
Housing Owner Occup 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Owner Occupied Housing,Y,N,Y,N
Housing Renter Occup 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Renter Occupied Housing,Y,N,Y,N
District Enrollment 01/29/21,DATA_COVID_DISTRICT.csv,Numeric,enrollment,Y,N,Y,N
Approx. District On-Campus Enrollment 01/29/21,DATA_COVID_DISTRICT.csv,Numeric,enrollment,Y,N,Y,N
District Enrollment 10/30/20,DATA_COVID_DISTRICT.csv,Numeric,enrollment,Y,N,Y,N
Approx. District On-Campus Enrollment 10/30/20,DATA_COVID_DISTRICT.csv,Numeric,enrollment,Y,N,Y,N
District Enrollment 09/28/20,DATA_COVID_DISTRICT.csv,Numeric,enrollment,Y,N,Y,N
Approx. District On-Campus Enrollment 09/28/20,DATA_COVID_DISTRICT.csv,Numeric,enrollment,Y,N,Y,N
Confirmed Deaths 09/28/20,DATA_COVID_COUNTY.csv,Numeric,covid death cases,Y,N,Y,N
Confirmed Deaths 10/30/20,DATA_COVID_COUNTY.csv,Numeric,covid death cases,Y,N,Y,N
Confirmed Deaths 01/29/21,DATA_COVID_COUNTY.csv,Numeric,covid death cases,Y,N,Y,N
Confirmed Cases 09/28/20,DATA_COVID_COUNTY.csv,Numeric,covid infection cases,Y,N,Y,N
Confirmed Cases 10/30/20,DATA_COVID_COUNTY.csv,Numeric,covid infection cases,Y,N,Y,N
Confirmed Cases 01/29/21,DATA_COVID_COUNTY.csv,Numeric,covid infection cases,Y,N,Y,N
County Population,DATA_COVID_COUNTY.csv,Numeric,County population,Y,Y,Y,Y
2018-2019 ADA,DATA_ADA_DISTRICT.csv,Numeric,average daily attendance,Y,N,Y,N
2020-2021 ADA,DATA_ADA_DISTRICT.csv,Numeric,average daily attendance,Y,N,Y,N
CARES ESSER I 20,DATA_ESSER_DISTRICT.csv,Numeric,"Coronavirus Aid, Relief, and Economic Security (CARES) grant amount by TEA in 2020",Y,Y,Y,Y
CRRSA ESSER II 21,DATA_ESSER_DISTRICT.csv,Numeric,Coronavirus Response and Relief Supplemental Appropriations (CRRSA) grant amount by TEA in 2021,Y,Y,Y,N
ARP ESSER III 21,DATA_ESSER_DISTRICT.csv,Numeric,American Rescue Plan Act (ARP) grant amount by TEA in 2021,Y,Y,Y,N
ESSER-SUPP 22,DATA_ESSER_DISTRICT.csv,Numeric,Intensive educational supports for students not performing satisfactorily due to Covid pandemic in 2022,Y,Y,Y,N
ESSER-SUPP 23,DATA_ESSER_DISTRICT.csv,Numeric,Intensive educational supports for students not performing satisfactorily due to Covid pandemic in 2023,Y,Y,Y,N
% Total Operational Public Schools 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,school information,Y,N,N,N
% Total Operational Public Schools 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,school information,Y,N,N,N
% School-wide Title I 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,number of School-wide Title 1 eligible schools,Y,N,N,Y
% School-wide Title I 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,number of School-wide Title 1 eligible schools,Y,N,N,Y
% Title I Eligible School 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,number of School-wide and Targeted assistance Title 1 eligible schools,Y,N,N,Y
% Title I Eligible School 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,number of School-wide and Targeted assistance Title 1 eligible schools,Y,N,N,Y
Teachers:Students 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,teacher & staff,Y,N,N,Y
Teachers:Students 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,teacher & staff,Y,N,N,Y
Staff:Students 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,teacher & staff,Y,N,N,Y
Staff:Students 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,teacher & staff,Y,N,N,Y
% Free Lunch 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,lunch program,Y,N,N,Y
% Free Lunch 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,lunch program,Y,N,N,Y
% Reduced-price Lunch 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,lunch program,Y,N,N,Y
% Reduced-price Lunch 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,lunch program,Y,N,N,Y
% Asian or Asian/Pacific Islander Students 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,race/total students,Y,N,N,Y
% Asian or Asian/Pacific Islander Students 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,race/total students,Y,N,N,Y
% Hispanic Students 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,race/total students,Y,N,N,Y
% Hispanic Students 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,race/total students,Y,N,N,Y
% Black or African American Students 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,race/total students,Y,N,N,Y
% Black or African American Students 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,race/total students,Y,N,N,Y
% White Students 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,race/total students,Y,N,N,Y
% White Students 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,race/total students,Y,N,N,Y
% Grades 1-8 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,Y
% Grades 1-8 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,Y
% Grades 9-12 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,Y
% Grades 9-12 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,Y
% Prek 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,Y
% Prek 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,Y
% K 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,Y
% K 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,Y
% Grade 1 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 1 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 2 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 2 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 3 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 3 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 4 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 4 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 5 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 5 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 6 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 6 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
% Grade 7 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade/total students,Y,N,N,N
