District Number,% Loss Math,% Loss Reading,,Range
60902,-0.03,0,,
57922,-0.04,-0.01,,
50910,-0.02,0.01,,
178904,-0.05,-0.01,,
178807,-0.04,0.01,,
187904,-0.01,0.01,,
175903,-0.02,0.01,,
95902,-0.16,-0.15,,
142901,-0.03,0,,
246914,-0.04,0,,
109903,-0.04,0,,
129901,-0.03,-0.01,,
52901,-0.01,0,,
18908,-0.01,0.04,,
161901,-0.02,0,,
53001,0.02,0.02,,
113901,-0.02,0,,
101906,-0.03,0,,
54901,-0.04,0,,
30901,0,0.01,,
107904,-0.01,0,,
78901,-0.03,0,,
220912,-0.05,-0.01,,
254901,-0.05,-0.01,,
62901,-0.02,0,,
55901,-0.22,0,,
212801,-0.04,-0.01,,
112905,-0.03,0,,
174902,-0.03,0,,
101907,-0.04,0,,
163902,-0.01,0.02,,
172902,-0.03,-0.01,,
56901,-0.02,0.01,,
57905,-0.04,0,,
20910,-0.01,0.02,,
20904,-0.03,0,,
148905,-0.04,0,,
175904,-0.01,0.01,,
58902,0.2,0.23,,
146902,-0.02,0.01,,
47902,-0.01,0.01,,
249905,-0.02,0,,
101908,-0.03,0,,
19901,0.01,0.02,,
227910,-0.04,0,,
91903,-0.02,0,,
61901,-0.05,-0.01,,
251901,-0.04,-0.01,,
57906,-0.05,-0.01,,
194905,-0.03,-0.02,,
146903,0,0.02,,
163901,-0.02,0.01,,
81906,0.03,0.04,,
176903,-0.03,0.02,,
3905,-0.01,0,,
84901,-0.03,0,,
82902,-0.05,-0.02,,
144903,-0.02,0.04,,
35901,-0.03,-0.01,,
74904,-0.02,0.01,,
108902,-0.09,-0.04,,
174911,0,0.01,,
178801,-0.04,0,,
101856,-0.09,-0.03,,
105904,-0.02,0,,
178905,-0.04,-0.02,,
72902,-0.01,0,,
171901,-0.02,0,,
57907,-0.05,-0.02,,
220918,-0.04,-0.01,,
159901,-0.1,-0.05,,
227909,-0.03,-0.01,,
25909,0,0.01,,
241902,-0.02,0,,
15911,-0.03,0,,
36903,-0.01,0.01,,
220811,-0.06,-0.02,,
67903,-0.03,-0.01,,
68901,-0.03,0,,
74905,-0.03,-0.01,,
108903,-0.08,-0.04,,
48901,-0.02,0.01,,
234903,-0.04,-0.01,,
15905,-0.06,-0.01,,
108904,-0.08,-0.02,,
120901,0,0.01,,
57833,-0.04,-0.02,,
123805,-0.03,0,,
241903,-0.01,0.01,,
71902,-0.06,-0.01,,
71810,-0.07,-0.02,,
15836,-0.03,0,,
243902,-0.02,0,,
11902,-0.19,-0.01,,
1903,-0.02,0.01,,
102906,-0.02,0.01,,
70903,-0.02,0,,
49906,0.02,0.01,,
174910,-0.17,-0.14,,
30906,-0.03,0.01,,
107905,-0.04,0,,
121906,-0.04,-0.03,,
50901,-0.04,0.01,,
220904,-0.05,0,,
101811,-0.35,-0.3,,
108809,-0.06,-0.01,,
210906,-0.21,-0.17,,
143906,-0.02,0.02,,
71903,-0.09,-0.04,,
81902,-0.03,0,,
128904,-0.01,0,,
60914,-0.06,-0.02,,
43904,-0.03,0,,
185902,0,0.03,,
75906,-0.04,0,,
70905,-0.17,0,,
75901,0,0.03,,
246902,-0.02,0.01,,
247901,-0.04,-0.01,,
178914,-0.03,0,,
77901,-0.01,0.02,,
148902,-0.05,0,,
169910,0.03,0.02,,
129902,-0.05,-0.02,,
114904,-0.02,0,,
79907,-0.05,0,,
242906,0,0,,
186902,-0.03,-0.01,,
220809,-0.03,-0.01,,
220905,-0.05,-0.01,,
198903,-0.01,0.01,,
1904,0,-0.01,,
86901,-0.02,0.01,,
66903,-0.02,0,,
152907,-0.02,0.01,,
84911,-0.03,0,,
185903,-0.05,0,,
43905,-0.04,0,,
175905,-0.02,0.01,,
234909,-0.04,0,,
122901,-0.02,0.01,,
115901,-0.06,-0.02,,
15914,-0.04,-0.01,,
49901,-0.03,0,,
101910,-0.05,-0.01,,
84902,-0.04,-0.01,,
120902,-0.01,-0.01,,
57909,-0.06,-0.02,,
184911,-0.06,-0.03,,
174903,-0.01,0.02,,
183904,-0.04,0.01,,
50902,0,0.01,,
57831,-0.04,-0.01,,
166902,-0.03,0,,
15802,-0.06,-0.01,,
101804,-0.04,0,,
149901,-0.02,0.01,,
246904,-0.02,0,,
161925,-0.03,-0.01,,
144901,-0.02,0.01,,
230902,-0.03,0,,
92901,-0.04,0,,
87901,-0.01,0.01,,
213901,-0.02,0,,
126911,0,0.02,,
169906,0,0.01,,
57835,-0.04,0,,
167901,-0.01,0.01,,
88902,-0.03,0.01,,
89901,-0.02,0,,
187903,-0.03,0.02,,
246802,0.12,0.17,,
101911,-0.03,0,,
182901,-0.07,-0.01,,
67904,-0.01,0.02,,
156905,-0.01,0.02,,
182902,0,0.02,,
252901,0.02,0.01,,
111901,0,0.02,,
57910,-0.05,-0.01,,
234904,-0.02,0,,
238904,-0.01,0.01,,
126904,-0.02,0.01,,
90905,-0.27,-0.25,,
246905,-0.03,-0.02,,
226907,-0.03,0.01,,
113902,-0.02,0.01,,
220906,-0.04,-0.01,,
15835,-0.05,0,,
116905,-0.04,-0.01,,
165902,0,0.01,,
205902,-0.04,-0.01,,
147902,-0.04,-0.02,,
33901,-0.16,-0.14,,
228901,-0.02,0,,
98901,0,0.02,,
91917,-0.02,0.01,,
47903,-0.01,0.01,,
135001,-0.02,0,,
95903,-0.02,0.01,,
143901,-0.01,0,,
161924,-0.02,0.01,,
102904,-0.01,0.01,,
97902,-0.01,0.01,,
127903,-0.02,-0.01,,
123914,-0.03,-0.01,,
219901,-0.03,0.01,,
146904,0,0.02,,
100905,-0.02,0,,
15904,-0.06,-0.01,,
102905,-0.02,0.01,,
31903,-0.07,-0.02,,
230905,-0.01,0.01,,
101858,-0.06,-0.02,,
101862,-0.06,-0.03,,
71806,-0.08,-0.02,,
15828,-0.07,-0.02,,
101846,-0.06,-0.02,,
227816,-0.06,-0.02,,
86902,-0.02,0.02,,
244901,-0.02,0,,
35902,0.02,0.03,,
103902,0,0.01,,
225907,0,0.01,,
104901,-0.04,0,,
250902,-0.03,0,,
127904,-0.04,-0.01,,
105906,-0.04,0,,
198905,-0.05,-0.01,,
65902,-0.04,0.01,,
202903,-0.01,0.02,,
237902,-0.02,-0.01,,
201902,-0.06,-0.02,,
39902,-0.04,0,,
59901,-0.01,0.01,,
15815,-0.03,0.01,,
208901,-0.03,0.03,,
97903,-0.04,0.01,,
108905,-0.09,-0.03,,
84903,-0.05,-0.01,,
220819,-0.03,0,,
177905,-0.01,0,,
57911,-0.03,0,,
188903,-0.03,-0.01,,
109904,0,0.01,,
84908,-0.02,-0.01,,
14905,-0.04,0,,
5902,-0.01,0.01,,
163904,-0.02,0,,
74907,0.01,0.03,,
19902,-0.03,0.01,,
108802,-0.22,-0.17,,
101828,-0.06,0,,
101912,-0.06,-0.01,,
91905,-0.02,0.01,,
19913,0.23,0.23,,
109905,-0.02,0.01,,
72908,0.14,0.01,,
3902,-0.02,0.01,,
101925,-0.03,-0.01,,
34903,-0.02,0,,
146905,-0.04,0,,
101913,-0.03,0,,
133902,-0.01,0.02,,
3904,-0.03,0,,
236902,-0.02,0,,
220916,-0.04,0,,
246906,-0.04,-0.01,,
152910,-0.01,0,,
43801,-0.04,0,,
120905,-0.01,0.01,,
205903,-0.02,0,,
133904,0.01,0.02,,
15808,-0.01,0.01,,
57830,-0.06,-0.02,,
57848,-0.05,-0.02,,
93903,-0.01,0.01,,
243903,-0.01,0,,
208903,-0.01,0.03,,
186903,-0.04,-0.03,,
18906,-0.02,0.01,,
118902,-0.01,0.02,,
57912,-0.07,-0.02,,
70907,-0.03,-0.01,,
109907,-0.02,0,,
119902,-0.02,0,,
37904,-0.02,0.01,,
246907,-0.05,-0.01,,
121904,-0.04,-0.02,,
132902,-0.03,0.01,,
57819,-0.04,0,,
155901,-0.02,-0.01,,
124901,-0.04,0.01,,
221911,-0.02,0.01,,
210902,-0.02,-0.01,,
16901,-0.04,0,,
50909,-0.03,-0.01,,
126905,-0.02,0.01,,
7902,-0.02,0.01,,
15822,-0.05,-0.02,,
15916,-0.05,-0.01,,
134901,-0.02,-0.01,,
102901,-0.04,0,,
128901,-0.05,-0.01,,
101914,-0.02,0,,
129903,-0.03,0,,
126906,-0.02,0.01,,
220907,-0.04,-0.01,,
242905,0.17,-0.01,,
129904,-0.03,0,,
131001,-0.03,0.02,,
128902,-0.05,-0.01,,
113906,-0.02,0.02,,
220914,-0.06,-0.02,,
175907,-0.02,0.01,,
248901,0.02,0.02,,
133903,-0.02,0.01,,
105803,0.02,0.04,,
92902,-0.02,0.01,,
14906,-0.04,0,,
137901,-0.05,-0.01,,
227820,-0.22,-0.02,,
121905,-0.02,0,,
101915,-0.03,0,,
58905,-0.03,0,,
232901,-0.02,-0.01,,
138902,0,0,,
18907,-0.04,0,,
100903,-0.04,0,,
