District Number,% Loss Math,% Loss Reading,,Range
246912,-0.01,0.01,,
149902,-0.01,0.02,,
72901,-0.06,0.01,,
224901,-0.19,-0.16,,
158902,0,0.03,,
210905,-0.03,0,,
91907,-0.04,-0.01,,
111903,-0.02,0,,
91918,-0.01,0.01,,
101921,-0.02,0,,
71908,-0.07,-0.02,,
220801,-0.08,-0.01,,
221905,-0.04,0,,
74912,-0.04,-0.01,,
107907,-0.07,-0.04,,
46802,0.03,0.02,,
228903,-0.02,0.02,,
61805,-0.02,0,,
212904,-0.02,0.01,,
14910,-0.02,0.01,,
219903,-0.03,-0.01,,
178912,-0.03,0,,
96905,-0.02,0.02,,
101840,-0.09,-0.02,,
212905,-0.02,0,,
57845,-0.04,0,,
230908,-0.03,0,,
230904,-0.01,0.01,,
240903,-0.08,-0.02,,
57808,-0.04,0,,
227819,-0.05,-0.01,,
227806,-0.01,0,,
57803,-0.07,-0.02,,
212804,-0.19,0,,
232904,-0.08,0,,
68803,-0.02,0.01,,
232903,-0.03,0,,
18904,-0.03,0,,
108916,-0.08,-0.03,,
49903,-0.04,-0.01,,
227829,0.18,0.01,,
91908,-0.01,0.01,,
234906,-0.03,0,,
158906,-0.04,-0.01,,
108808,-0.08,-0.03,,
180902,-0.01,0.01,,
126908,-0.03,0,,
226908,-0.02,0.02,,
244903,-0.02,0.01,,
235902,-0.04,0,,
181907,-0.02,0.01,,
57847,-0.04,-0.02,,
71809,-0.23,-0.21,,
143904,-0.15,0.01,,
161801,-0.01,-0.01,,
161914,-0.04,-0.01,,
89905,-0.04,-0.02,,
59902,-0.05,0,,
226906,-0.02,0.01,,
237904,-0.05,-0.02,,
49908,-0.07,0.21,,
18905,-0.01,0.02,,
229904,-0.02,0.01,,
102903,-0.02,0,,
70801,-0.02,0.01,,
70912,-0.02,-0.01,,
227803,-0.04,-0.02,,
184903,-0.01,0,,
240904,-0.03,-0.01,,
45905,0,0.01,,
44902,-0.02,0,,
223904,-0.01,0.01,,
37909,-0.02,0,,
108913,-0.08,-0.03,,
100908,-0.02,-0.01,,
161916,0.03,0.02,,
181906,-0.03,-0.01,,
178915,-0.05,-0.01,,
201914,-0.01,0.01,,
202905,-0.04,-0.01,,
168903,-0.05,-0.01,,
62905,-0.18,-0.14,,
220810,-0.02,0,,
73904,0.01,0.02,,
1908,-0.02,0,,
241904,-0.03,0,,
242903,0,0.01,,
33904,-0.03,0,,
92908,-0.01,0,,
220920,-0.03,0,,
40902,-0.03,0.01,,
212906,-0.02,0,,
91909,-0.03,0,,
91910,-0.01,0.01,,
110908,-0.04,0.01,,
109911,-0.01,0.02,,
243905,-0.03,-0.01,,
180904,-0.02,-0.01,,
170904,-0.04,0,,
234907,-0.03,0,,
153907,0.19,0.22,,
105905,-0.02,0.01,,
5904,-0.04,0.01,,
248902,0.01,0,,
250907,-0.03,-0.02,,
212910,-0.02,0,,
200904,-0.02,0.01,,
174906,-0.05,-0.01,,
116909,-0.02,0,,
196902,-0.01,0.01,,
224902,-0.02,0,,
229903,-0.01,0.01,,
81905,-0.02,0,,
221912,-0.03,0,,
43914,-0.03,0,,
250905,-0.03,0,,
101873,-0.02,0,,
101845,-0.06,-0.01,,
62903,0,0.02,,
62904,-0.03,-0.01,,
71905,-0.07,-0.02,,
253901,-0.06,-0.02,,
3906,-0.02,0.02,,
25906,-0.03,0,,
,0.26,0.27,,
