,County,Per Capita Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty,Low Average Annual Pay (Less than $45000),Mid Average Annual Pay (Between $45000 & $70000),High Average Annual Pay (More than $70000),County #
93,Guadalupe,49405,78909,47890,8.5,10.7,0,1,0,48187
94,Hale,38674,46589,41504,17.6,24.6,1,0,0,48189
95,Hall,35416,36654,30797,18.6,36.7,1,0,0,48191
96,Hamilton,65685,52840,40176,14.7,20.9,1,0,0,48193
97,Hansford,66588,61059,48273,10.7,15.4,0,1,0,48195
98,Hardeman,45863,63479,40025,15.0,23.6,1,0,0,48197
99,Hardin,49159,69151,46055,10.4,12.9,0,1,0,48199
100,Harris,60183,61906,74737,15.9,23.3,0,0,1,48201
101,Harrison,45396,55198,51295,15.6,21.9,0,1,0,48203
102,Hartley,76005,74686,45134,9.5,9.1,0,1,0,48205
103,Haskell,46070,44847,39484,20.0,25.6,1,0,0,48207
104,Hays,50212,77511,44662,9.6,9.9,1,0,0,48209
105,Hemphill,61340,65718,55354,9.5,14.5,0,1,0,48211
106,Henderson,43356,52660,40569,14.2,22.6,1,0,0,48213
107,Hidalgo,31153,46653,37315,23.9,32.5,1,0,0,48215
108,Hill,44776,56565,45020,14.0,20.4,0,1,0,48217
109,Hockley,46051,55469,56046,12.9,19.5,0,1,0,48219
110,Hood,55132,85449,44089,9.4,14.8,1,0,0,48221
111,Hopkins,45219,53634,42242,12.7,18.9,1,0,0,48223
112,Houston,44693,45989,57654,20.0,27.7,0,1,0,48225
113,Howard,45105,58445,52881,15.7,17.8,0,1,0,48227
114,Hudspeth,26835,40666,62654,24.2,33.1,0,1,0,48229
115,Hunt,42819,53760,49227,12.6,17.6,0,1,0,48231
116,Hutchinson,46860,62536,66275,12.1,15.4,0,1,0,48233
117,Irion,72353,73776,59671,6.9,7.4,0,1,0,48235
118,Jack,41038,56028,52540,13.6,18.4,0,1,0,48237
119,Jackson,47642,56101,47883,12.7,17.5,0,1,0,48239
120,Jasper,43486,51153,42877,17.3,24.9,1,0,0,48241
121,Jeff Davis,48623,55718,38673,22.2,59.7,1,0,0,48243
122,Jefferson,46547,48808,58904,18.3,25.9,0,1,0,48245
123,Jim Hogg,36847,41620,43268,20.1,30.5,1,0,0,48247
124,Jim Wells,46483,48773,42829,20.1,32.9,1,0,0,48249
125,Johnson,47654,67382,49088,9.5,11.7,0,1,0,48251
126,Jones,35520,47019,41637,19.5,21.2,1,0,0,48253
127,Karnes,61330,56006,59138,17.5,22.9,0,1,0,48255
128,Kaufman,47580,76352,47072,9.2,12.7,0,1,0,48257
129,Kendall,84853,103216,53257,6.7,8.6,0,1,0,48259
130,Kenedy,46296,45980,71463,10.8,13.8,0,0,1,48261
131,Kent,51139,53472,42031,11.3,12.3,1,0,0,48263
132,Kerr,56093,57425,46051,11.6,16.5,0,1,0,48265
133,Kimble,48071,47894,35381,15.7,32.7,1,0,0,48267
134,King,81541,78210,46390,12.4,21.3,0,1,0,48269
135,Kinney,35119,62557,49192,17.9,22.7,0,1,0,48271
136,Kleberg,43560,51574,43054,20.8,30.0,1,0,0,48273
137,Knox,42857,46053,45721,16.3,24.6,0,1,0,48275
138,La Salle,41114,45647,64913,24.0,28.3,0,1,0,48283
139,Lamar,46538,44688,45487,19.6,26.9,0,1,0,48277
140,Lamb,50667,48123,44710,17.6,24.5,1,0,0,48279
141,Lampasas,54153,69051,38858,10.0,18.0,1,0,0,48281
142,Lavaca,57399,57999,42393,10.6,14.5,1,0,0,48285
143,Lee,53791,61444,50808,10.6,15.0,0,1,0,48287
144,Leon,42878,52878,54278,13.8,17.9,0,1,0,48289
145,Liberty,40904,61230,47694,14.4,20.0,0,1,0,48291
146,Limestone,41072,53143,45070,16.8,19.7,0,1,0,48293
147,Lipscomb,83655,67775,61670,11.3,14.8,0,1,0,48295
148,Live Oak,38734,54031,60583,17.0,23.8,0,1,0,48297
149,Llano,52538,60706,41021,10.9,20.3,1,0,0,48299
150,Lubbock,46502,56477,47656,15.8,18.4,0,1,0,48303
151,Lynn,40351,51003,52015,14.4,19.6,0,1,0,48305
152,Madison,35865,58674,41419,17.4,21.6,1,0,0,48313
153,Marion,42536,42024,35851,20.0,31.1,1,0,0,48315
154,Martin,64602,73367,53825,11.1,17.0,0,1,0,48317
155,Mason,49261,63120,36305,9.8,20.1,1,0,0,48319
156,Matagorda,48150,52241,58305,17.3,24.0,0,1,0,48321
157,Maverick,35133,41324,36750,20.0,27.9,1,0,0,48323
158,McCulloch,41306,47617,40580,16.2,27.1,1,0,0,48307
159,McLennan,45772,55148,50313,17.0,20.7,0,1,0,48309
160,McMullen,73356,45927,59092,9.7,12.0,0,1,0,48311
161,Medina,44456,62600,41110,11.2,17.2,1,0,0,48325
162,Menard,41220,41477,29615,19.1,34.5,1,0,0,48327
163,Midland,126631,92117,77806,9.7,13.1,0,0,1,48329
164,Milam,40552,49961,42570,17.4,24.0,1,0,0,48331
165,Mills,45663,49089,37742,14.4,22.8,1,0,0,48333
166,Mitchell,37113,46156,44618,18.7,21.9,1,0,0,48335
167,Montague,44790,56012,41106,12.4,18.2,1,0,0,48337
168,Montgomery,65516,85348,61130,8.2,10.9,0,1,0,48339
169,Moore,51476,53341,50466,10.6,14.8,0,1,0,48341
170,Morris,43036,45122,49755,17.0,25.1,0,1,0,48343
171,Motley,39505,46712,33077,16.3,27.5,1,0,0,48345
172,Nacogdoches,41188,49375,42131,19.5,23.5,1,0,0,48347
173,Navarro,42869,50778,41888,14.8,21.9,1,0,0,48349
174,Newton,36839,45769,39530,21.3,27.9,1,0,0,48351
175,Nolan,48017,41720,46507,17.2,24.4,0,1,0,48353
176,Nueces,47999,55727,50947,17.5,25.9,0,1,0,48355
177,Ochiltree,59892,71477,47468,9.2,14.2,0,1,0,48357
178,Oldham,56033,61013,46949,14.0,28.8,0,1,0,48359
179,Orange,48173,61323,56502,15.1,21.1,0,1,0,48361
180,Palo Pinto,45095,59450,45971,13.9,20.9,0,1,0,48363
181,Panola,47191,51936,48341,15.3,19.5,0,1,0,48365
