Model,Method,n Selected,best_params,Best Accuracy,Train Accuracy,Test Accuracy,Precision,Recall,F1,MCC,ROC,conf_mat,prediction,predict_proba,features,estimator,Train Time,classification_report
Ridge,RFE - Ridge,6,"{'C': 0.01, 'solver': 'newton-cg'}",0.6216336295283664,0.6269633507853403,0.6020942408376964,0.46762507399130915,0.6020942408376964,0.5096311231071076,0.2843596980592987,0.6614014490454281,"[[20 21  0]
 [ 8 95  0]
 [ 0 47  0]]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0 -1  0  0  0  0 -1  0  0  0 -1  0  0  0  0  0  0 -1  0
  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0 -1  0  0  0 -1  0  0  0  0
  0  0 -1  0  0 -1  0  0  0  0 -1 -1  0  0  0 -1  0  0  0 -1  0  0  0  0
  0 -1  0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0 -1  0  0  0  0  0  0
  0  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0
  0 -1 -1  0 -1  0 -1  0  0  0  0  0  0 -1  0  0  0 -1  0  0  0  0  0  0
  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0 -1 -1  0  0  0  0  0  0]","[[0.16229429 0.57533017 0.26237553]
 [0.1419953  0.57835528 0.27964942]
 [0.35853006 0.50518953 0.13628042]
 [0.08947105 0.58636456 0.32416439]
 [0.09940043 0.58379389 0.31680568]
 [0.44090747 0.47698737 0.08210517]
 [0.14209992 0.57991018 0.27798989]
 [0.09842397 0.58459497 0.31698107]
 [0.30891654 0.52045834 0.17062513]
 [0.09943319 0.58676215 0.31380466]
 [0.09565114 0.58435551 0.31999336]
 [0.16073331 0.57672766 0.26253903]
 [0.09335229 0.5875438  0.31910392]
 [0.49840986 0.40862959 0.09296055]
 [0.09142158 0.58511817 0.32346025]
 [0.13858963 0.58233392 0.27907646]
 [0.10458643 0.58619819 0.30921538]
 [0.09426154 0.58608314 0.31965532]
 [0.10565891 0.58096085 0.31338024]
 [0.14473054 0.57583173 0.27943773]
 [0.08327973 0.58467802 0.33204225]
 [0.15877667 0.71594302 0.12528031]
 [0.08803638 0.58515478 0.32680884]
 [0.11436256 0.58553452 0.30010292]
 [0.09021737 0.58645624 0.32332639]
 [0.09639016 0.58608363 0.3175262 ]
 [0.10395539 0.58022323 0.31582139]
 [0.13005932 0.58339566 0.28654502]
 [0.12792349 0.58174236 0.29033415]
 [0.09517423 0.58964819 0.31517758]
 [0.64130355 0.30337419 0.05532226]
 [0.25712139 0.53688422 0.20599439]
 [0.14244666 0.5923195  0.26523385]
 [0.27659454 0.52502035 0.19838511]
 [0.14029074 0.5817366  0.27797266]
 [0.47136478 0.38965246 0.13898276]
 [0.10492338 0.5857203  0.30935633]
 [0.29525797 0.50017482 0.20456722]
 [0.2521481  0.57638054 0.17147136]
 [0.73089079 0.24350966 0.02559955]
 [0.10548477 0.58925882 0.30525641]
 [0.14547084 0.56419836 0.2903308 ]
 [0.16312351 0.57177308 0.26510341]
 [0.11007831 0.58519861 0.30472308]
 [0.18586112 0.57476052 0.23937836]
 [0.25217999 0.55613321 0.1916868 ]
 [0.45771477 0.43654493 0.1057403 ]
 [0.25947046 0.54888542 0.19164411]
 [0.08668403 0.58687636 0.32643962]
 [0.08319795 0.58441543 0.33238662]
 [0.09632272 0.58133405 0.32234323]
 [0.08897678 0.58718811 0.32383511]
 [0.59070594 0.3353267  0.07396736]
 [0.11021835 0.58212698 0.30765467]
 [0.09398337 0.58561943 0.3203972 ]
 [0.09339242 0.58273484 0.32387275]
 [0.3225885  0.50176113 0.17565038]
 [0.10686503 0.58810768 0.30502729]
 [0.26015795 0.59483204 0.14501001]
 [0.11779215 0.58605867 0.29614918]
 [0.10138578 0.59127437 0.30733985]
 [0.14253971 0.58370502 0.27375527]
 [0.0836638  0.58483263 0.33150357]
 [0.63690612 0.30387602 0.05921785]
 [0.08633571 0.58712339 0.3265409 ]
 [0.12432797 0.58811323 0.28755879]
 [0.08822519 0.5857973  0.32597752]
 [0.47705325 0.43892239 0.08402436]
 [0.34753443 0.51406828 0.13839729]
 [0.29555964 0.51435846 0.1900819 ]
 [0.09999407 0.73964213 0.16036379]
 [0.34554828 0.49077426 0.16367746]
 [0.19461856 0.57001335 0.23536809]
 [0.09921049 0.58997855 0.31081096]
 [0.521484   0.38098445 0.09753156]
 [0.25382312 0.54145177 0.20472511]
 [0.0967305  0.58330113 0.31996837]
 [0.50151617 0.40526042 0.0932234 ]
 [0.08679265 0.58353648 0.32967087]
 [0.10919694 0.58333093 0.30747212]
 [0.19134715 0.57120448 0.23744837]
 [0.39890956 0.4797453  0.12134514]
 [0.75732625 0.22576307 0.01691068]
 [0.52484974 0.39934458 0.07580567]
 [0.15714416 0.57823935 0.26461648]
 [0.11613899 0.57952126 0.30433975]
 [0.13705507 0.58110204 0.28184288]
 [0.60700278 0.32748926 0.06550795]
 [0.08280643 0.58414927 0.3330443 ]
 [0.09093387 0.58778668 0.32127945]
 [0.1256456  0.58610348 0.28825092]
 [0.44727061 0.43293762 0.11979177]
 [0.15753227 0.57584752 0.26662021]
 [0.17037792 0.57744605 0.25217602]
 [0.37414446 0.47693961 0.14891594]
 [0.1197657  0.58325214 0.29698217]
 [0.0940796  0.58674497 0.31917542]
 [0.48024707 0.39559741 0.12415552]
 [0.09718628 0.58690066 0.31591306]
 [0.21253733 0.55284228 0.23462038]
 [0.74758786 0.23365215 0.01875999]
 [0.10962896 0.60912888 0.28124216]
 [0.10280539 0.58591739 0.31127722]
 [0.28922589 0.52667622 0.18409789]
 [0.13254757 0.5800653  0.28738713]
 [0.14212793 0.5830034  0.27486867]
 [0.0991289  0.58696287 0.31390823]
 [0.39286221 0.48905956 0.11807823]
 [0.1732876  0.57730866 0.24940374]
 [0.33212343 0.52292123 0.14495534]
 [0.15898849 0.5763565  0.26465501]
 [0.08435644 0.58542041 0.33022315]
 [0.13498457 0.57641878 0.28859666]
 [0.58468003 0.34856616 0.0667538 ]
 [0.09779582 0.58973613 0.31246805]
 [0.08940988 0.58589305 0.32469708]
 [0.10882032 0.58419873 0.30698095]
 [0.08175156 0.58525017 0.33299827]
 [0.10763299 0.58541631 0.30695071]
 [0.18670941 0.56270692 0.25058367]
 [0.08717427 0.5856088  0.32721693]
 [0.24961774 0.55134667 0.19903559]
 [0.13300103 0.58240366 0.28459531]
 [0.08265414 0.58422171 0.33312415]
 [0.12025352 0.58058819 0.2991583 ]
 [0.34333808 0.49410722 0.1625547 ]
 [0.38136285 0.47242197 0.14621517]
 [0.09333342 0.58505502 0.32161156]
 [0.47768403 0.41499919 0.10731677]
 [0.17770261 0.56988674 0.25241065]
 [0.09318031 0.58600907 0.32081063]
 [0.13297243 0.58419254 0.28283503]
 [0.36634615 0.48830532 0.14534853]
 [0.26649052 0.53048221 0.20302727]
 [0.22620669 0.54503605 0.22875726]
 [0.29429318 0.49566883 0.210038  ]
 [0.50034595 0.39655065 0.10310341]
 [0.14613058 0.57765757 0.27621185]
 [0.09471098 0.58644419 0.31884484]
 [0.09428114 0.58379592 0.32192294]
 [0.11586466 0.58896273 0.29517261]
 [0.34545751 0.48791513 0.16662736]
 [0.18832758 0.55911862 0.25255381]
 [0.11642323 0.58383203 0.29974474]
 [0.1188985  0.58602666 0.29507484]
 [0.47273171 0.42469642 0.10257187]
 [0.49053303 0.40629923 0.10316774]
 [0.09555133 0.58475982 0.31968884]
 [0.55310549 0.36836653 0.07852797]
 [0.08885048 0.58659061 0.32455891]
 [0.65643475 0.28508473 0.05848052]
 [0.10435938 0.58768202 0.30795861]
 [0.18482575 0.56822054 0.24695371]
 [0.1223659  0.58258978 0.29504433]
 [0.08786103 0.58489758 0.32724139]
 [0.10052433 0.58882612 0.31064955]
 [0.11311267 0.58484746 0.30203986]
 [0.61148609 0.32037576 0.06813815]
 [0.1195047  0.57683102 0.30366428]
 [0.13632959 0.58227346 0.28139695]
 [0.224126   0.55307723 0.22279676]
 [0.52742274 0.3799628  0.09261446]
 [0.10433268 0.58808889 0.30757843]
 [0.40317076 0.45913174 0.1376975 ]
 [0.17829915 0.57364748 0.24805336]
 [0.10724916 0.58608087 0.30666997]
 [0.15037188 0.5811663  0.26846182]
 [0.10228666 0.58443225 0.31328109]
 [0.09716394 0.5864091  0.31642696]
 [0.12004201 0.58464298 0.29531501]
 [0.38717595 0.42926228 0.18356177]
 [0.09278447 0.58563737 0.32157816]
 [0.09416225 0.58751589 0.31832186]
 [0.10085188 0.58772091 0.31142722]
 [0.73688247 0.24195769 0.02115984]
 [0.09226937 0.58478466 0.32294598]
 [0.08821863 0.58618669 0.32559468]
 [0.13230275 0.58312388 0.28457338]
 [0.13583762 0.57892192 0.28524047]
 [0.11880723 0.58837502 0.29281776]
 [0.09560723 0.58510029 0.31929248]
 [0.11181129 0.58385814 0.30433057]
 [0.12071248 0.57997953 0.29930799]
 [0.70664143 0.27538943 0.01796915]
 [0.44449584 0.40233562 0.15316854]
 [0.11672647 0.58401308 0.29926045]
 [0.15096541 0.57961644 0.26941815]
 [0.18144567 0.71759344 0.10096089]
 [0.29804048 0.52567903 0.17628048]
 [0.10628372 0.59139252 0.30232376]
 [0.10578976 0.58917899 0.30503125]]","['% On Campus 10/30/20', 'CARES ESSER I 20', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% On Campus 09/28/20', 'ESSER-SUPP 22']","LogisticRegression(C=0.01, max_iter=10000, multi_class='ovr', n_jobs=-1,
                   random_state=123, solver='newton-cg')",0.421875,"              precision    recall  f1-score   support

          -1       0.71      0.49      0.58        41
           0       0.58      0.92      0.71       103
           1       0.00      0.00      0.00        47

    accuracy                           0.60       191
   macro avg       0.43      0.47      0.43       191
weighted avg       0.47      0.60      0.51       191
"
Ridge,Variance Threshold,21,"{'C': 0.001, 'solver': 'liblinear'}",0.5942412850307587,0.5955497382198953,0.6073298429319371,0.5982806541270764,0.6073298429319371,0.522958486960921,0.29535160770406516,0.6262572055634883,"[[20 21  0]
 [ 7 95  1]
 [ 0 46  1]]","[ 0  0  0  0  0 -1  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0 -1  0  0  0  0 -1  0 -1  0
  0  1  0  0 -1  0  0  0 -1  0  0  0  0  0  0  0  0  0  0 -1  0  0  0  0
  1  0 -1  0  0  0  0  0  0  0 -1  0  0  0  0 -1  0  0  0 -1  0  0 -1  0
  0  0  0  0 -1  0  0  0  0  0  0 -1  0  0  0  0  0 -1  0  0  0  0  0  0
  0  0  0  0  0  0 -1  0  0  0  0  0  0 -1  0  0 -1  0  0  0  0 -1  0  0
  0 -1  0  0 -1  0  0  0  0  0  0  0  0 -1  0  0 -1  0  0  0  0  0  0  0
  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0]","[[0.29050528 0.37269414 0.33680058]
 [0.27436054 0.36711238 0.35852707]
 [0.28300195 0.37604142 0.34095663]
 [0.27494973 0.36871735 0.35633291]
 [0.27751101 0.36897836 0.35351064]
 [0.49324242 0.28841666 0.21834092]
 [0.30418877 0.36599131 0.32981992]
 [0.28224716 0.38027596 0.33747688]
 [0.31114942 0.36406683 0.32478375]
 [0.28536777 0.37441666 0.34021557]
 [0.26899433 0.3685061  0.36249957]
 [0.27739659 0.37020879 0.35239462]
 [0.28716246 0.36294489 0.34989265]
 [0.43598433 0.29841509 0.26560058]
 [0.28394735 0.37343987 0.34261278]
 [0.27816488 0.36745115 0.35438397]
 [0.29274817 0.36293135 0.34432048]
 [0.28623402 0.37390588 0.3398601 ]
 [0.28473946 0.37724613 0.33801441]
 [0.28981245 0.37414937 0.33603818]
 [0.27888747 0.37179908 0.34931344]
 [0.33432946 0.39252353 0.27314701]
 [0.2825777  0.37680664 0.34061566]
 [0.29334034 0.37341918 0.33324048]
 [0.2842086  0.37245516 0.34333624]
 [0.27317749 0.3740809  0.35274162]
 [0.27849683 0.36793954 0.35356362]
 [0.29789397 0.36931391 0.33279212]
 [0.33902727 0.34999756 0.31097517]
 [0.28333328 0.37612023 0.3405465 ]
 [0.43974347 0.30160343 0.2586531 ]
 [0.30180268 0.35964133 0.33855599]
 [0.34254222 0.34994781 0.30750996]
 [0.28215548 0.37827377 0.33957075]
 [0.28077011 0.36961632 0.34961357]
 [0.28523055 0.37769311 0.33707633]
 [0.27567697 0.37296547 0.35135757]
 [0.29395754 0.37188002 0.33416245]
 [0.3353772  0.35276164 0.31186116]
 [0.39615044 0.32221363 0.28163594]
 [0.2727704  0.36765075 0.35957884]
 [0.28300865 0.36290226 0.35408909]
 [0.28382141 0.37945667 0.33672192]
 [0.29379097 0.36244787 0.34376117]
 [0.42509279 0.3115371  0.26337011]
 [0.32072802 0.3601472  0.31912477]
 [0.44553951 0.29911079 0.2553497 ]
 [0.29295489 0.37476118 0.33228392]
 [0.28642812 0.3734121  0.34015978]
 [0.23548507 0.35789461 0.40662031]
 [0.27564498 0.3683597  0.35599532]
 [0.28051732 0.37346632 0.34601636]
 [0.35707357 0.34054473 0.30238169]
 [0.27431772 0.37498778 0.3506945 ]
 [0.28569541 0.37470834 0.33959625]
 [0.27876551 0.379236   0.34199849]
 [0.44733145 0.29481014 0.25785841]
 [0.28205591 0.37705337 0.34089072]
 [0.31086656 0.38039056 0.30874288]
 [0.28480044 0.37490634 0.34029322]
 [0.28426945 0.37833643 0.33739413]
 [0.28983302 0.37388281 0.33628417]
 [0.27333955 0.36933277 0.35732769]
 [0.33598366 0.35058281 0.31343354]
 [0.2795212  0.37641969 0.34405911]
 [0.2762466  0.37909979 0.34465361]
 [0.2785515  0.37992032 0.34152818]
 [0.58667765 0.22961456 0.18370779]
 [0.3022864  0.36529277 0.33242083]
 [0.28297802 0.38277122 0.33425076]
 [0.28416862 0.41974666 0.29608471]
 [0.31135455 0.36432282 0.32432264]
 [0.2701158  0.36324148 0.36664272]
 [0.27810851 0.36500195 0.35688953]
 [0.4990575  0.27128181 0.22966069]
 [0.28988331 0.37203733 0.33807936]
 [0.27989383 0.38231506 0.33779111]
 [0.31163059 0.3625405  0.3258289 ]
 [0.30122507 0.36695851 0.33181641]
 [0.33809568 0.34344188 0.31846245]
 [0.29641293 0.37046141 0.33312566]
 [0.31915981 0.36001252 0.32082766]
 [0.44598259 0.29849096 0.25552646]
 [0.32828246 0.35638519 0.31533235]
 [0.28696416 0.37464246 0.33839338]
 [0.27131389 0.36846068 0.36022543]
 [0.2857966  0.37514454 0.33905886]
 [0.45527038 0.2931838  0.25154582]
 [0.27768495 0.37722087 0.34509417]
 [0.27172674 0.36822405 0.3600492 ]
 [0.28003824 0.36750885 0.35245291]
 [0.4316434  0.30514529 0.26321131]
 [0.33095611 0.353258   0.31578588]
 [0.28171595 0.37589664 0.3423874 ]
 [0.41478059 0.32155522 0.2636642 ]
 [0.28848306 0.36942389 0.34209304]
 [0.28006178 0.37682419 0.34311404]
 [0.30472087 0.3687582  0.32652093]
 [0.28521377 0.3755665  0.33921974]
 [0.28497942 0.37382856 0.34119202]
 [0.4152762  0.31605924 0.26866456]
 [0.28203564 0.38226676 0.33569761]
 [0.27545639 0.36900972 0.35553389]
 [0.27159737 0.36698116 0.36142147]
 [0.28674821 0.37616361 0.33708818]
 [0.28463613 0.37583617 0.3395277 ]
 [0.27761364 0.36329233 0.35909403]
 [0.57739098 0.23377592 0.18883309]
 [0.28438283 0.37399189 0.34162528]
 [0.34742499 0.35286717 0.29970784]
 [0.34210918 0.35006392 0.3078269 ]
 [0.27917112 0.3774137  0.34341518]
 [0.27902968 0.36912354 0.35184678]
 [0.50810249 0.26788573 0.22401178]
 [0.282925   0.3653148  0.35176019]
 [0.28129417 0.37570435 0.34300149]
 [0.28232453 0.37534899 0.34232648]
 [0.27802484 0.36658654 0.35538862]
 [0.28285257 0.37694599 0.34020144]
 [0.2752965  0.36612593 0.35857757]
 [0.27756438 0.3689616  0.35347402]
 [0.30002846 0.36805723 0.3319143 ]
 [0.28498188 0.36426037 0.35075775]
 [0.28084735 0.37921137 0.33994129]
 [0.28199219 0.37729064 0.34071717]
 [0.30306445 0.35718232 0.33975323]
 [0.49263967 0.27078096 0.23657937]
 [0.28536045 0.37798782 0.33665173]
 [0.3448207  0.34910612 0.30607318]
 [0.29027792 0.37453454 0.33518753]
 [0.26678249 0.38474638 0.34847113]
 [0.27788661 0.36450757 0.35760582]
 [0.33659533 0.35476727 0.3086374 ]
 [0.36139742 0.3394361  0.29916649]
 [0.28284585 0.37294082 0.34421333]
 [0.28507481 0.37167024 0.34325494]
 [0.36238064 0.34009067 0.29752869]
 [0.28611804 0.3739024  0.33997956]
 [0.27920338 0.37081939 0.34997722]
 [0.29880691 0.35738245 0.34381064]
 [0.28132786 0.37865165 0.34002048]
 [0.45390671 0.29524502 0.25084827]
 [0.25250583 0.38488309 0.36261107]
 [0.28613276 0.36108128 0.35278597]
 [0.28448717 0.3748012  0.34071162]
 [0.55722929 0.24239632 0.2003744 ]
 [0.27800755 0.38038326 0.34160919]
 [0.27890337 0.36687309 0.35422354]
 [0.36609686 0.33853857 0.29536457]
 [0.28244298 0.37491558 0.34264144]
 [0.27732463 0.36720579 0.35546958]
 [0.27466682 0.36800214 0.35733104]
 [0.30458142 0.36606051 0.32935806]
 [0.2784069  0.3798651  0.341728  ]
 [0.27940405 0.37615314 0.34444281]
 [0.27617904 0.3690434  0.35477756]
 [0.28237275 0.36737888 0.35024837]
 [0.35967724 0.33768888 0.30263388]
 [0.2889305  0.36670147 0.34436803]
 [0.28761404 0.37507981 0.33730615]
 [0.4247374  0.30754878 0.26771382]
 [0.28722334 0.37478797 0.33798869]
 [0.28035882 0.36744021 0.35220097]
 [0.29119319 0.37367795 0.33512886]
 [0.29205313 0.37177832 0.33616855]
 [0.28502402 0.37535641 0.33961957]
 [0.29053313 0.37224319 0.33722368]
 [0.28175807 0.36813586 0.35010608]
 [0.26889845 0.36904414 0.36205741]
 [0.28462925 0.37505614 0.34031461]
 [0.28066465 0.37695261 0.34238274]
 [0.27647348 0.36922319 0.35430333]
 [0.2772464  0.36667898 0.35607462]
 [0.28378881 0.37719745 0.33901375]
 [0.35371274 0.3446748  0.30161246]
 [0.27370662 0.37701013 0.34928325]
 [0.28251019 0.3781912  0.33929861]
 [0.2763694  0.36821993 0.35541067]
 [0.27473623 0.36895692 0.35630685]
 [0.28388354 0.37587212 0.34024433]
 [0.28945198 0.37687239 0.33367564]
 [0.28292394 0.37549738 0.34157868]
 [0.27520459 0.36844536 0.35635005]
 [0.50241022 0.27357492 0.22401487]
 [0.27766443 0.36417779 0.35815778]
 [0.280106   0.36749432 0.35239968]
 [0.29576713 0.37114285 0.33309002]
 [0.33627066 0.39758883 0.26614051]
 [0.29492352 0.37035209 0.33472438]
 [0.28376388 0.37599434 0.34024178]
 [0.26835596 0.38567669 0.34596736]]","['CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% Prek Diff', 'Unemployed Level Diff', 'Median Age Male 10', 'Median Age Female 10', 'Locale_42-Rural: Distant', 'ESSER-SUPP 22', 'Avg Household Size 10', 'Avg Family Size 10', '# of Households 10', 'County Population', '# of Housing Units 10', '# of Families 10', 'ESSER-SUPP 23']","LogisticRegression(C=0.001, max_iter=10000, multi_class='ovr', n_jobs=-1,
                   random_state=123, solver='liblinear')",0.4375,"              precision    recall  f1-score   support

          -1       0.74      0.49      0.59        41
           0       0.59      0.92      0.72       103
           1       0.50      0.02      0.04        47

    accuracy                           0.61       191
   macro avg       0.61      0.48      0.45       191
weighted avg       0.60      0.61      0.52       191
"
